medium	description	compound	name
M1	M1	3mb	3mb
M1	M1	4abz	4abz
M1	M1	ac	ac
M1	M1	btn	btn
M1	M1	but	but
M1	M1	ca2	ca2
M1	M1	cbl1	cbl1
M1	M1	cbl2	cbl2
M1	M1	cellb	cellb
M1	M1	cl	cl
M1	M1	cobalt2	cobalt2
M1	M1	cu2	cu2
M1	M1	cys__L	cys__L
M1	M1	fe2	fe2
M1	M1	fe3	fe3
M1	M1	fol	fol
M1	M1	fru	fru
M1	M1	glc__D	glc__D
M1	M1	h	h
M1	M1	h2o	h2o
M1	M1	hco3	hco3
M1	M1	his__L	his__L
M1	M1	k	k
M1	M1	lipoate	lipoate
M1	M1	malt	malt
M1	M1	mg2	mg2
M1	M1	mn2	mn2
M1	M1	mndn	mndn
M1	M1	mobd	mobd
M1	M1	na1	na1
M1	M1	nac	nac
M1	M1	ni2	ni2
M1	M1	no3	no3
M1	M1	pheme	pheme
M1	M1	pi	pi
M1	M1	pnto__R	pnto__R
M1	M1	ppa	ppa
M1	M1	pydxn	pydxn
M1	M1	ribflv	ribflv
M1	M1	slnt	slnt
M1	M1	so4	so4
M1	M1	thm	thm
M1	M1	tungs	tungs
M1	M1	zn2	zn2
M2	M2	4abz	4abz
M2	M2	ac	ac
M2	M2	ade	ade
M2	M2	ala__L	ala__L
M2	M2	arg__L	arg__L
M2	M2	ascb__L	ascb__L
M2	M2	asn__L	asn__L
M2	M2	asp__L	asp__L
M2	M2	btn	btn
M2	M2	ca2	ca2
M2	M2	cit	cit
M2	M2	cl	cl
M2	M2	cobalt2	cobalt2
M2	M2	cu2	cu2
M2	M2	cys__L	cys__L
M2	M2	fe2	fe2
M2	M2	fe3	fe3
M2	M2	fol	fol
M2	M2	glc__D	glc__D
M2	M2	gln__L	gln__L
M2	M2	glu__L	glu__L
M2	M2	gly	gly
M2	M2	gthrd	gthrd
M2	M2	gua	gua
M2	M2	h	h
M2	M2	h2o	h2o
M2	M2	his__L	his__L
M2	M2	ile__L	ile__L
M2	M2	inost	inost
M2	M2	k	k
M2	M2	leu__L	leu__L
M2	M2	lipoate	lipoate
M2	M2	lys__L	lys__L
M2	M2	met__L	met__L
M2	M2	mg2	mg2
M2	M2	mn2	mn2
M2	M2	mobd	mobd
M2	M2	na1	na1
M2	M2	nac	nac
M2	M2	nh4	nh4
M2	M2	ni2	ni2
M2	M2	phe__L	phe__L
M2	M2	pi	pi
M2	M2	pnto__R	pnto__R
M2	M2	pro__L	pro__L
M2	M2	pydam	pydam
M2	M2	pydxn	pydxn
M2	M2	ribflv	ribflv
M2	M2	ser__L	ser__L
M2	M2	so4	so4
M2	M2	thm	thm
M2	M2	thr__L	thr__L
M2	M2	trp__L	trp__L
M2	M2	tyr__L	tyr__L
M2	M2	ura	ura
M2	M2	val__L	val__L
M2	M2	xan	xan
M2	M2	zn2	zn2
M3	M3	3mb	3mb
M3	M3	4abz	4abz
M3	M3	ac	ac
M3	M3	ade	ade
M3	M3	ala__L	ala__L
M3	M3	arg__L	arg__L
M3	M3	ascb__L	ascb__L
M3	M3	asn__L	asn__L
M3	M3	asp__L	asp__L
M3	M3	btn	btn
M3	M3	but	but
M3	M3	ca2	ca2
M3	M3	cbl1	cbl1
M3	M3	cbl2	cbl2
M3	M3	cellb	cellb
M3	M3	cit	cit
M3	M3	cl	cl
M3	M3	cobalt2	cobalt2
M3	M3	cu2	cu2
M3	M3	cys__L	cys__L
M3	M3	fe2	fe2
M3	M3	fe3	fe3
M3	M3	fol	fol
M3	M3	fru	fru
M3	M3	glc__D	glc__D
M3	M3	gln__L	gln__L
M3	M3	glu__L	glu__L
M3	M3	gly	gly
M3	M3	gthrd	gthrd
M3	M3	gua	gua
M3	M3	h	h
M3	M3	h2o	h2o
M3	M3	hco3	hco3
M3	M3	his__L	his__L
M3	M3	ile__L	ile__L
M3	M3	inost	inost
M3	M3	k	k
M3	M3	lcts	lcts
M3	M3	leu__L	leu__L
M3	M3	lipoate	lipoate
M3	M3	lys__L	lys__L
M3	M3	malt	malt
M3	M3	met__L	met__L
M3	M3	mg2	mg2
M3	M3	mn2	mn2
M3	M3	mndn	mndn
M3	M3	mobd	mobd
M3	M3	na1	na1
M3	M3	nac	nac
M3	M3	nad	nad
M3	M3	nh4	nh4
M3	M3	ni2	ni2
M3	M3	no3	no3
M3	M3	phe__L	phe__L
M3	M3	pheme	pheme
M3	M3	pi	pi
M3	M3	pnto__R	pnto__R
M3	M3	ppa	ppa
M3	M3	pro__L	pro__L
M3	M3	pydam	pydam
M3	M3	pydxn	pydxn
M3	M3	ribflv	ribflv
M3	M3	ser__L	ser__L
M3	M3	slnt	slnt
M3	M3	so4	so4
M3	M3	thm	thm
M3	M3	thr__L	thr__L
M3	M3	trp__L	trp__L
M3	M3	tungs	tungs
M3	M3	tyr__L	tyr__L
M3	M3	ura	ura
M3	M3	val__L	val__L
M3	M3	xan	xan
M3	M3	zn2	zn2
M4	M4	3mb	3mb
M4	M4	4abz	4abz
M4	M4	ac	ac
M4	M4	ade	ade
M4	M4	ala__L	ala__L
M4	M4	arg__L	arg__L
M4	M4	ascb__L	ascb__L
M4	M4	asn__L	asn__L
M4	M4	asp__L	asp__L
M4	M4	btn	btn
M4	M4	but	but
M4	M4	ca2	ca2
M4	M4	cbl1	cbl1
M4	M4	cbl2	cbl2
M4	M4	cellb	cellb
M4	M4	cit	cit
M4	M4	cl	cl
M4	M4	cobalt2	cobalt2
M4	M4	cu2	cu2
M4	M4	cys__L	cys__L
M4	M4	fe2	fe2
M4	M4	fe3	fe3
