contig_id,cluster_id
NODE_8047_length_1081_cov_1.678363,6
NODE_7883_length_1092_cov_1.292189,28
NODE_3529_length_1687_cov_1.852328,5
NODE_428_length_6720_cov_2.684021,3
NODE_9036_length_1017_cov_1.032225,28
NODE_9221_length_1005_cov_2.447368,11
NODE_6941_length_1167_cov_3.060252,6
NODE_2102_length_2264_cov_3.725668,21
NODE_9274_length_1003_cov_2.040084,6
NODE_4579_length_1462_cov_3.393746,3
NODE_2890_length_1875_cov_2.142857,2
NODE_1076_length_3505_cov_5.725217,29
NODE_8976_length_1020_cov_1.716062,28
NODE_8841_length_1028_cov_1.776978,20
NODE_6859_length_1174_cov_3.261841,11
NODE_867_length_4154_cov_5.334716,2
NODE_7687_length_1107_cov_2.894487,28
NODE_3152_length_1787_cov_2.671478,11
NODE_2588_length_1993_cov_1.974200,28
NODE_237_length_10980_cov_3.509931,30
NODE_6988_length_1162_cov_2.973803,3
NODE_617_length_5244_cov_2.842744,16
NODE_3860_length_1602_cov_3.190045,16
NODE_7627_length_1112_cov_1.915799,28
NODE_6666_length_1193_cov_1.836555,28
NODE_3671_length_1647_cov_2.150126,11
NODE_6844_length_1176_cov_1.414808,17
NODE_1480_length_2840_cov_5.956553,7
NODE_333_length_8265_cov_4.138855,30
NODE_2055_length_2303_cov_2.655694,11
NODE_1412_length_2944_cov_3.112496,7
NODE_6341_length_1224_cov_1.775877,28
NODE_3352_length_1725_cov_2.112575,3
NODE_5056_length_1385_cov_1.964662,16
NODE_5558_length_1316_cov_1.773989,28
NODE_2515_length_2031_cov_2.395243,3
NODE_3579_length_1672_cov_3.495980,16
NODE_8076_length_1079_cov_1.739258,24
NODE_4583_length_1462_cov_2.402985,20
NODE_329_length_8321_cov_10.275466,2
NODE_1546_length_2754_cov_5.479437,27
NODE_9305_length_1001_cov_1.746300,3
NODE_3483_length_1701_cov_1.784326,2
NODE_4904_length_1406_cov_2.826795,6
NODE_3398_length_1716_cov_1.776039,28
NODE_6521_length_1207_cov_2.434896,7
NODE_1618_length_2672_cov_2.875430,16
NODE_8090_length_1078_cov_2.505376,20
NODE_457_length_6389_cov_5.225134,27
NODE_6431_length_1216_cov_1.906977,20
NODE_394_length_7262_cov_2.799084,16
NODE_4058_length_1558_cov_2.491018,11
NODE_802_length_4408_cov_3.574317,30
NODE_9095_length_1013_cov_1.524008,28
NODE_9059_length_1015_cov_1.961458,28
NODE_5092_length_1381_cov_1.625943,28
NODE_2131_length_2246_cov_3.353720,21
NODE_948_length_3869_cov_8.269271,29
NODE_164_length_15323_cov_3.266440,30
NODE_4698_length_1441_cov_1.963203,3
NODE_448_length_6503_cov_5.337004,27
NODE_6688_length_1191_cov_1.762324,3
NODE_4503_length_1474_cov_1.983087,11
NODE_6138_length_1245_cov_2.998319,21
NODE_5275_length_1350_cov_3.151351,16
NODE_2839_length_1891_cov_2.448802,3
NODE_8918_length_1024_cov_1.170279,3
NODE_5713_length_1296_cov_1.787268,3
NODE_1468_length_2859_cov_3.672611,21
NODE_1712_length_2565_cov_2.395219,3
NODE_4383_length_1496_cov_5.598196,21
NODE_1918_length_2392_cov_3.563971,3
NODE_4033_length_1563_cov_1.714854,2
NODE_2300_length_2147_cov_2.403442,3
NODE_6518_length_1207_cov_5.474826,6
NODE_5323_length_1344_cov_1.722265,11
NODE_5659_length_1303_cov_1.876603,6
NODE_2046_length_2311_cov_3.762411,21
NODE_1923_length_2390_cov_1.753747,28
NODE_6096_length_1251_cov_1.678930,28
NODE_4334_length_1505_cov_3.408966,21
NODE_1018_length_3685_cov_3.002479,16
NODE_8865_length_1026_cov_2.905252,2
NODE_939_length_3912_cov_2.671506,11
NODE_4892_length_1408_cov_2.674797,3
NODE_76_length_27540_cov_6.474113,29
NODE_5325_length_1344_cov_1.426687,24
NODE_8677_length_1038_cov_1.906409,28
NODE_6497_length_1209_cov_3.237435,21
NODE_3836_length_1609_cov_1.535393,28
NODE_3289_length_1742_cov_3.160640,11
NODE_8805_length_1030_cov_1.825641,3
NODE_5764_length_1287_cov_3.532468,7
NODE_4252_length_1520_cov_1.743345,28
NODE_9104_length_1012_cov_2.378265,28
NODE_4776_length_1428_cov_2.495994,3
NODE_4031_length_1563_cov_2.037135,2
NODE_5009_length_1391_cov_1.919910,2
NODE_4457_length_1481_cov_2.612202,11
NODE_5386_length_1336_cov_2.042935,3
NODE_4794_length_1424_cov_2.340394,11
NODE_3521_length_1689_cov_2.771726,11
NODE_3974_length_1576_cov_3.555556,6
NODE_8848_length_1027_cov_2.439300,17
NODE_3544_length_1683_cov_5.091523,0
NODE_3372_length_1720_cov_2.306306,28
NODE_5187_length_1366_cov_1.492754,28
NODE_5236_length_1357_cov_1.723502,20
NODE_5486_length_1324_cov_2.858944,16
NODE_7276_length_1140_cov_2.829493,2
NODE_7126_length_1151_cov_2.468978,7
NODE_2922_length_1859_cov_4.196785,9
NODE_6719_length_1189_cov_1.222222,28
NODE_2697_length_1951_cov_2.678270,27
NODE_355_length_7841_cov_8.575263,29
NODE_3383_length_1718_cov_2.384847,16
NODE_2808_length_1906_cov_1.977310,3
NODE_4370_length_1499_cov_2.191828,24
NODE_6614_length_1199_cov_1.263112,3
NODE_5235_length_1357_cov_1.747312,28
NODE_3721_length_1635_cov_2.172152,20
NODE_5696_length_1298_cov_2.195495,6
NODE_756_length_4575_cov_4.241372,21
NODE_9038_length_1016_cov_2.661811,2
NODE_9174_length_1008_cov_1.796432,6
NODE_5428_length_1332_cov_1.137040,28
NODE_8163_length_1074_cov_1.456330,28
NODE_5291_length_1348_cov_2.130704,20
NODE_6797_length_1181_cov_1.505329,20
NODE_8157_length_1074_cov_1.892051,28
NODE_4384_length_1496_cov_3.866065,7
NODE_6906_length_1171_cov_1.733871,20
NODE_8876_length_1026_cov_1.712667,24
NODE_3417_length_1712_cov_2.671696,3
NODE_2630_length_1975_cov_1.597396,28
NODE_4278_length_1515_cov_2.861644,11
NODE_2058_length_2299_cov_4.039216,21
NODE_1759_length_2528_cov_2.479579,9
NODE_7501_length_1121_cov_3.239212,6
NODE_5555_length_1316_cov_4.001586,11
NODE_4688_length_1444_cov_2.649388,7
NODE_8573_length_1045_cov_1.821212,20
NODE_3079_length_1808_cov_2.154022,3
NODE_6762_length_1184_cov_1.853853,6
NODE_9267_length_1003_cov_4.486287,9
NODE_8483_length_1051_cov_2.151606,20
NODE_7369_length_1131_cov_3.991636,2
NODE_3403_length_1715_cov_2.595783,3
NODE_6830_length_1177_cov_4.959002,31
NODE_1253_length_3170_cov_2.753451,21
NODE_1291_length_3122_cov_1.813499,6
NODE_1598_length_2697_cov_2.147237,6
NODE_350_length_7941_cov_4.747400,0
NODE_8345_length_1061_cov_1.510934,20
NODE_7032_length_1159_cov_2.115942,16
NODE_7782_length_1100_cov_1.588517,28
NODE_6068_length_1253_cov_2.713689,3
NODE_445_length_6522_cov_3.016236,16
NODE_2888_length_1876_cov_1.551345,17
NODE_480_length_6210_cov_2.827295,16
NODE_9091_length_1013_cov_2.086639,20
NODE_2197_length_2211_cov_2.336735,6
NODE_1938_length_2379_cov_2.748709,11
NODE_916_length_4000_cov_2.577693,14
NODE_6349_length_1223_cov_2.253425,6
NODE_9220_length_1005_cov_2.516842,3
NODE_7013_length_1160_cov_4.942986,2
NODE_628_length_5191_cov_3.695288,20
NODE_6515_length_1208_cov_1.668690,28
NODE_3426_length_1711_cov_2.272947,6
NODE_9093_length_1013_cov_1.860125,28
NODE_4160_length_1539_cov_2.640162,16
NODE_1564_length_2731_cov_2.590060,7
NODE_2356_length_2116_cov_2.841339,16
NODE_3845_length_1607_cov_1.721649,6
NODE_3290_length_1742_cov_2.683462,11
NODE_387_length_7380_cov_7.658703,27
NODE_7973_length_1085_cov_3.129126,2
NODE_649_length_5062_cov_3.779109,7
NODE_951_length_3866_cov_2.568880,7
NODE_576_length_5470_cov_7.895845,29
NODE_2230_length_2190_cov_2.535831,20
NODE_9255_length_1004_cov_1.902002,28
NODE_5888_length_1275_cov_2.699180,2
NODE_5100_length_1380_cov_1.743396,28
NODE_5006_length_1391_cov_2.288922,11
NODE_7572_length_1116_cov_1.895382,28
NODE_914_length_4003_cov_3.155522,21
NODE_6419_length_1217_cov_1.617040,28
NODE_988_length_3760_cov_2.914980,7
NODE_6224_length_1237_cov_1.849408,28
NODE_4785_length_1427_cov_1.683673,28
NODE_3450_length_1707_cov_2.090799,28
NODE_1091_length_3477_cov_3.482174,21
NODE_597_length_5368_cov_6.088839,29
NODE_6940_length_1168_cov_1.379155,9
NODE_5121_length_1377_cov_1.722390,28
NODE_706_length_4773_cov_3.814116,21
NODE_2154_length_2232_cov_2.920533,28
NODE_2460_length_2059_cov_3.510978,2
NODE_8874_length_1026_cov_2.062822,28
NODE_7678_length_1108_cov_2.235518,11
NODE_3399_length_1716_cov_1.732691,3
NODE_2053_length_2304_cov_2.292130,3
NODE_6724_length_1188_cov_2.795234,21
NODE_1299_length_3109_cov_2.270138,3
NODE_2676_length_1957_cov_3.962671,21
NODE_330_length_8321_cov_7.657271,27
NODE_2835_length_1892_cov_2.546543,3
NODE_3737_length_1632_cov_2.114775,20
NODE_3128_length_1796_cov_2.792648,3
NODE_7111_length_1153_cov_1.427140,29
NODE_6919_length_1170_cov_1.938117,28
NODE_1345_length_3043_cov_4.408635,27
NODE_3118_length_1799_cov_2.125000,20
NODE_1999_length_2336_cov_1.972819,20
NODE_1047_length_3614_cov_3.445631,21
NODE_1136_length_3389_cov_3.362028,16
NODE_6164_length_1243_cov_1.909933,3
NODE_4954_length_1399_cov_1.944196,11
NODE_7907_length_1089_cov_2.440039,6
NODE_336_length_8191_cov_7.195674,29
NODE_1260_length_3159_cov_3.072809,11
NODE_6407_length_1218_cov_1.900258,24
NODE_3257_length_1750_cov_5.417109,2
NODE_5104_length_1379_cov_2.987915,16
NODE_1763_length_2522_cov_1.740981,2
NODE_5438_length_1330_cov_4.108235,2
NODE_1578_length_2717_cov_1.947408,24
NODE_7800_length_1098_cov_2.199425,20
NODE_8974_length_1020_cov_1.878756,6
NODE_876_length_4117_cov_3.061300,27
NODE_3306_length_1738_cov_5.933452,2
NODE_2169_length_2226_cov_3.138646,7
NODE_4632_length_1454_cov_2.532523,11
NODE_4680_length_1445_cov_5.271942,17
NODE_2931_length_1856_cov_3.875069,28
NODE_4853_length_1414_cov_1.833701,28
NODE_5864_length_1278_cov_1.573181,28
NODE_8426_length_1055_cov_2.151000,3
NODE_8478_length_1051_cov_2.610442,2
NODE_2065_length_2289_cov_5.170546,2
NODE_4499_length_1475_cov_1.228873,28
NODE_779_length_4486_cov_3.658542,2
NODE_1399_length_2962_cov_2.539732,3
NODE_7454_length_1125_cov_2.933645,7
NODE_3523_length_1688_cov_2.327006,9
NODE_4837_length_1417_cov_2.090308,28
NODE_3685_length_1644_cov_1.246696,28
NODE_6809_length_1180_cov_1.602667,6
NODE_5368_length_1338_cov_2.294622,6
NODE_8900_length_1024_cov_34.547988,31
NODE_7589_length_1115_cov_1.864151,11
NODE_6420_length_1217_cov_1.511188,28
NODE_5577_length_1314_cov_1.915012,28
NODE_7291_length_1138_cov_16.403509,31
NODE_5228_length_1358_cov_2.998465,3
NODE_1744_length_2540_cov_3.994769,29
NODE_2296_length_2149_cov_2.007641,3
NODE_866_length_4155_cov_7.170976,2
NODE_3240_length_1756_cov_2.182246,20
NODE_5230_length_1357_cov_2.598310,3
NODE_4066_length_1557_cov_2.167111,6
NODE_9029_length_1017_cov_1.702703,28
NODE_4239_length_1523_cov_2.472071,16
NODE_8851_length_1027_cov_2.129630,24
NODE_6093_length_1251_cov_2.268395,6
NODE_326_length_8351_cov_9.014224,29
NODE_8361_length_1060_cov_1.649751,28
NODE_1990_length_2340_cov_2.291904,20
NODE_2340_length_2126_cov_2.056012,20
NODE_3883_length_1599_cov_5.431347,19
NODE_8952_length_1021_cov_2.383023,11
NODE_5972_length_1264_cov_2.944582,11
NODE_6824_length_1178_cov_2.396260,14
NODE_170_length_14940_cov_8.065032,29
NODE_8498_length_1050_cov_1.944724,20
NODE_8309_length_1063_cov_2.256944,2
NODE_5580_length_1314_cov_1.536140,3
NODE_7290_length_1139_cov_1.329336,20
NODE_1092_length_3476_cov_3.703595,21
NODE_1626_length_2663_cov_2.863497,3
NODE_626_length_5197_cov_15.832361,2
NODE_4089_length_1552_cov_2.232465,16
NODE_2549_length_2012_cov_4.057741,30
NODE_2654_length_1964_cov_2.587218,16
NODE_5663_length_1302_cov_2.559743,16
NODE_4347_length_1503_cov_2.720994,21
NODE_2982_length_1838_cov_3.753786,3
NODE_4161_length_1539_cov_2.559299,20
NODE_1312_length_3085_cov_4.045545,30
NODE_2934_length_1855_cov_2.222778,6
NODE_2035_length_2317_cov_2.346154,20
NODE_7945_length_1087_cov_1.224806,3
NODE_5229_length_1358_cov_1.908672,28
NODE_3000_length_1831_cov_1.914414,28
NODE_7709_length_1106_cov_1.488107,28
NODE_1306_length_3097_cov_3.630506,11
NODE_1342_length_3045_cov_3.012040,7
NODE_6382_length_1220_cov_1.686695,6
NODE_7944_length_1087_cov_1.257752,24
NODE_2023_length_2324_cov_1.594094,28
NODE_122_length_19760_cov_16.942147,22
NODE_362_length_7714_cov_3.383340,2
NODE_7162_length_1148_cov_2.873742,9
NODE_5570_length_1315_cov_1.538889,24
NODE_4100_length_1549_cov_2.317269,20
NODE_276_length_9676_cov_3.556179,7
NODE_8863_length_1027_cov_1.212963,28
NODE_6748_length_1186_cov_1.621574,6
NODE_8097_length_1078_cov_1.702835,28
NODE_2447_length_2066_cov_2.349577,7
NODE_1262_length_3156_cov_2.333118,9
NODE_2740_length_1932_cov_21.858817,2
NODE_4173_length_1536_cov_3.291020,2
NODE_6516_length_1208_cov_1.568083,28
NODE_1162_length_3328_cov_2.441491,7
NODE_4623_length_1455_cov_3.398571,28
NODE_1156_length_3348_cov_2.947161,11
NODE_9203_length_1006_cov_2.370137,28
NODE_1691_length_2591_cov_2.774448,7
NODE_1164_length_3323_cov_3.156977,30
NODE_5396_length_1335_cov_2.693750,3
NODE_4354_length_1502_cov_1.971666,20
