contig_id,cluster_id
NODE_1_length_164082_cov_7.173721.concoct_part_0,28
NODE_1_length_164082_cov_7.173721.concoct_part_1,28
NODE_1_length_164082_cov_7.173721.concoct_part_2,28
NODE_1_length_164082_cov_7.173721.concoct_part_3,28
NODE_1_length_164082_cov_7.173721.concoct_part_4,28
NODE_1_length_164082_cov_7.173721.concoct_part_5,28
NODE_1_length_164082_cov_7.173721.concoct_part_6,28
NODE_1_length_164082_cov_7.173721.concoct_part_7,28
NODE_1_length_164082_cov_7.173721.concoct_part_8,28
NODE_1_length_164082_cov_7.173721.concoct_part_9,28
NODE_1_length_164082_cov_7.173721.concoct_part_10,28
NODE_1_length_164082_cov_7.173721.concoct_part_11,28
NODE_1_length_164082_cov_7.173721.concoct_part_12,28
NODE_1_length_164082_cov_7.173721.concoct_part_13,28
NODE_1_length_164082_cov_7.173721.concoct_part_14,28
NODE_1_length_164082_cov_7.173721.concoct_part_15,28
NODE_2_length_164078_cov_6.755077.concoct_part_0,28
NODE_2_length_164078_cov_6.755077.concoct_part_1,28
NODE_2_length_164078_cov_6.755077.concoct_part_2,28
NODE_2_length_164078_cov_6.755077.concoct_part_3,28
NODE_2_length_164078_cov_6.755077.concoct_part_4,28
NODE_2_length_164078_cov_6.755077.concoct_part_5,28
NODE_2_length_164078_cov_6.755077.concoct_part_6,28
NODE_2_length_164078_cov_6.755077.concoct_part_7,28
NODE_2_length_164078_cov_6.755077.concoct_part_8,28
NODE_2_length_164078_cov_6.755077.concoct_part_9,28
NODE_2_length_164078_cov_6.755077.concoct_part_10,28
NODE_2_length_164078_cov_6.755077.concoct_part_11,28
NODE_2_length_164078_cov_6.755077.concoct_part_12,28
NODE_2_length_164078_cov_6.755077.concoct_part_13,28
NODE_2_length_164078_cov_6.755077.concoct_part_14,28
NODE_2_length_164078_cov_6.755077.concoct_part_15,28
NODE_3_length_139165_cov_7.423636.concoct_part_0,28
NODE_3_length_139165_cov_7.423636.concoct_part_1,28
NODE_3_length_139165_cov_7.423636.concoct_part_2,28
NODE_3_length_139165_cov_7.423636.concoct_part_3,28
NODE_3_length_139165_cov_7.423636.concoct_part_4,28
