contigName	contigLen	totalAvgDepth	sample1.sort	sample1.sort-var
NODE_1_length_116427_cov_5.328318	116427	12.342	12.342	16.8921
NODE_2_length_111504_cov_5.057174	111504	11.6766	11.6766	17.2752
NODE_3_length_106192_cov_7.154621	106192	15.9765	15.9765	22.0539
NODE_4_length_95570_cov_7.177585	95570	16.1881	16.1881	25.1798
NODE_5_length_90105_cov_5.443209	90105	12.6623	12.6623	17.6638
NODE_6_length_80857_cov_5.462451	80857	12.6573	12.6573	16.4366
NODE_7_length_80069_cov_6.613155	80069	14.9032	14.9032	36.5051
NODE_8_length_78877_cov_4.826914	78877	11.1384	11.1384	15.0812
NODE_9_length_77320_cov_5.743221	77320	13.2847	13.2847	19.3031
NODE_10_length_76276_cov_5.777004	76276	13.3338	13.3338	17.1136
NODE_11_length_75970_cov_6.714154	75970	15.3315	15.3315	23.7027
NODE_12_length_70543_cov_6.329432	70543	14.6451	14.6451	18.8641
NODE_13_length_67399_cov_5.187871	67399	12.0018	12.0018	16.4283
NODE_14_length_67276_cov_7.047708	67276	16.2416	16.2416	23.7544
NODE_15_length_61328_cov_5.260017	61328	12.1647	12.1647	17.9236
NODE_16_length_56799_cov_5.045749	56799	11.5955	11.5955	16.5315
NODE_17_length_56768_cov_7.147832	56768	16.1821	16.1821	23.5621
NODE_18_length_56211_cov_7.118153	56211	16.1948	16.1948	25.9857
NODE_19_length_54040_cov_5.407058	54040	12.4475	12.4475	16.9142
NODE_20_length_53674_cov_5.198568	53674	11.9564	11.9564	15.5938
NODE_21_length_52214_cov_4.801223	52214	11.104	11.104	14.9131
NODE_22_length_51506_cov_5.507609	51506	12.7125	12.7125	18.7804
NODE_23_length_50855_cov_6.500394	50855	14.9259	14.9259	20.4249
NODE_24_length_50207_cov_5.020258	50207	11.6672	11.6672	15.3412
NODE_25_length_49986_cov_6.884441	49986	15.5328	15.5328	22.0302
NODE_26_length_49345_cov_6.234916	49345	14.0911	14.0911	20.673
NODE_27_length_46531_cov_5.582344	46531	12.8713	12.8713	17.5698
NODE_28_length_46182_cov_5.721118	46182	13.1833	13.1833	17.904
NODE_29_length_46130_cov_7.102767	46130	15.2292	15.2292	39.6799
NODE_30_length_45974_cov_6.008929	45974	13.7888	13.7888	22.7739
NODE_31_length_45253_cov_6.185760	45253	14.0457	14.0457	24.1812
NODE_32_length_45217_cov_5.481821	45217	12.4386	12.4386	17.0912
NODE_33_length_44650_cov_5.682520	44650	13.0082	13.0082	22.8237
NODE_34_length_44408_cov_6.145605	44408	13.9865	13.9865	18.4136
NODE_35_length_44220_cov_5.096932	44220	11.7481	11.7481	17.9315
NODE_36_length_42636_cov_5.648294	42636	13.1106	13.1106	18.5076
NODE_37_length_41591_cov_4.631693	41591	10.7397	10.7397	14.3568
NODE_38_length_40710_cov_4.866880	40710	11.3057	11.3057	17.2238
NODE_39_length_40031_cov_4.870797	40031	11.2076	11.2076	16.8691
NODE_40_length_39276_cov_4.973433	39276	11.5245	11.5245	16.255
NODE_41_length_39053_cov_4.764962	39053	11.0002	11.0002	14.0993
NODE_42_length_37334_cov_4.973309	37334	11.2085	11.2085	15.2613
NODE_43_length_37200_cov_4.723758	37200	10.9771	10.9771	13.8544
NODE_44_length_36939_cov_12.691302	36939	29.9332	29.9332	66.6472
NODE_45_length_36759_cov_5.903008	36759	13.5576	13.5576	18.8335
NODE_46_length_36112_cov_5.131542	36112	11.7463	11.7463	16.3768
NODE_47_length_35923_cov_5.309440	35923	12.0665	12.0665	16.7941
NODE_48_length_35641_cov_6.138734	35641	13.3609	13.3609	18.8536
NODE_49_length_35469_cov_5.721607	35469	13.1764	13.1764	19.1391
NODE_50_length_34796_cov_5.101350	34796	11.7937	11.7937	15.6394
NODE_51_length_34318_cov_4.215685	34318	10.4423	10.4423	15.7088
NODE_52_length_33719_cov_4.755080	33719	10.962	10.962	16.1365
NODE_53_length_32999_cov_7.034422	32999	15.3694	15.3694	21.3574
NODE_54_length_32728_cov_6.411685	32728	14.6785	14.6785	43.3755
NODE_55_length_32689_cov_6.899828	32689	15.5051	15.5051	28.0363
NODE_56_length_32613_cov_5.719854	32613	13.2181	13.2181	19.0983
NODE_57_length_32375_cov_5.698267	32375	13.1377	13.1377	17.8338
NODE_58_length_32368_cov_4.877077	32368	11.1243	11.1243	17.7568
NODE_59_length_32224_cov_4.565700	32224	10.5236	10.5236	15.4738
NODE_60_length_32120_cov_6.252799	32120	14.8386	14.8386	22.3349
NODE_61_length_32081_cov_5.119497	32081	11.878	11.878	15.9064
NODE_62_length_31633_cov_5.689562	31633	12.959	12.959	20.3284
NODE_63_length_30681_cov_5.748874	30681	13.1138	13.1138	21.0301
NODE_64_length_29865_cov_6.290272	29865	14.6058	14.6058	22.295
NODE_65_length_29830_cov_6.188850	29830	14.627	14.627	20.3009
NODE_66_length_29795_cov_6.105750	29795	13.5461	13.5461	19.5446
NODE_67_length_29606_cov_6.466888	29606	14.8629	14.8629	34.5315
NODE_68_length_28829_cov_6.366685	28829	14.714	14.714	19.266
NODE_69_length_28778_cov_4.712008	28778	10.8993	10.8993	13.9057
NODE_70_length_28739_cov_4.890950	28739	11.253	11.253	15.9489
NODE_71_length_27867_cov_7.332015	27867	16.8015	16.8016	25.9063
NODE_72_length_27714_cov_5.187172	27714	12.0446	12.0446	17.1062
NODE_73_length_27703_cov_5.231409	27703	12.0124	12.0124	15.4857
NODE_74_length_27376_cov_5.054024	27376	11.6378	11.6378	15.187
NODE_75_length_27368_cov_5.732435	27368	13.0999	13.0999	21.0162
NODE_76_length_25897_cov_5.294714	25897	12.2688	12.2688	19.1434
NODE_77_length_25487_cov_4.562166	25487	10.514	10.514	14.2759
NODE_78_length_25153_cov_5.488047	25153	12.7483	12.7483	21.9804
NODE_79_length_25148_cov_4.288367	25148	9.67573	9.67573	13.4326
NODE_80_length_24812_cov_5.159510	24812	11.919	11.919	16.5837
NODE_81_length_24191_cov_5.457159	24191	12.5794	12.5794	16.3608
NODE_82_length_23818_cov_5.583765	23818	12.925	12.925	18.7772
NODE_83_length_23664_cov_4.848532	23664	11.0738	11.0738	16.561
NODE_84_length_23274_cov_5.031052	23274	11.4443	11.4443	16.9777
NODE_85_length_23214_cov_4.443758	23214	10.3695	10.3695	14.9085
NODE_86_length_23018_cov_5.180290	23018	12.11	12.11	15.3409
NODE_87_length_22672_cov_5.334218	22672	12.0964	12.0964	16.1028
NODE_88_length_22489_cov_7.177142	22489	16.1675	16.1675	22.4291
NODE_89_length_22296_cov_4.821995	22296	11.1984	11.1984	15.39
NODE_90_length_22236_cov_5.636716	22236	12.9267	12.9267	16.5161
NODE_91_length_21903_cov_4.783138	21903	11.0286	11.0286	14.8181
NODE_92_length_21860_cov_5.117175	21860	11.8193	11.8193	16.8249
NODE_93_length_21757_cov_4.842733	21757	11.0654	11.0654	17.6132
NODE_94_length_21384_cov_10.007126	21384	22.9993	22.9993	34.8161
NODE_95_length_21003_cov_4.831058	21003	11.1272	11.1272	14.3664
NODE_96_length_20777_cov_5.373468	20777	12.4349	12.4349	23.5216
NODE_97_length_20718_cov_5.502734	20718	12.609	12.609	21.3088
NODE_98_length_20688_cov_5.680560	20688	13.0028	13.0028	17.6703
NODE_99_length_20473_cov_4.591341	20473	10.6363	10.6363	13.1664
NODE_100_length_20355_cov_4.934089	20355	11.4119	11.4119	15.8995
NODE_101_length_20215_cov_6.482192	20215	14.4114	14.4114	17.1746
NODE_102_length_20150_cov_4.755014	20150	11.224	11.224	16.1202
NODE_103_length_20136_cov_4.156566	20136	9.48309	9.48309	11.7738
NODE_104_length_20120_cov_4.594667	20120	10.4096	10.4096	16.0261
NODE_105_length_20009_cov_5.408490	20009	12.6014	12.6014	22.1781
NODE_106_length_19711_cov_5.720442	19711	13.1228	13.1228	18.0609
NODE_107_length_19527_cov_6.793858	19527	14.5852	14.5852	20.4167
NODE_108_length_19470_cov_5.772650	19470	13.1517	13.1517	19.4097
NODE_109_length_19425_cov_6.249200	19425	14.4663	14.4663	20.6957
NODE_110_length_19384_cov_5.430855	19384	12.4023	12.4023	17.3556
NODE_111_length_19248_cov_7.131558	19248	16.3316	16.3316	99.0891
NODE_112_length_19168_cov_6.913200	19168	15.3438	15.3438	24.9922
NODE_113_length_19049_cov_5.628567	19049	12.9864	12.9864	18.9189
NODE_114_length_18846_cov_6.002501	18846	13.6819	13.6819	20.2823
NODE_115_length_18815_cov_4.826546	18815	10.9853	10.9853	14.51
NODE_116_length_18565_cov_6.922312	18565	15.6794	15.6794	21.5108
NODE_117_length_18539_cov_5.733824	18539	13.2871	13.2871	19.5809
NODE_118_length_18061_cov_4.945740	18061	11.3556	11.3556	19.3875
NODE_119_length_18024_cov_8.751016	18024	19.7558	19.7558	114.079
NODE_120_length_17854_cov_6.175740	17854	13.7331	13.7331	19.9626
NODE_121_length_17775_cov_4.833804	17775	11.1698	11.1698	14.3005
NODE_122_length_17646_cov_4.361378	17646	10.4257	10.4257	11.4423
NODE_123_length_17499_cov_5.158737	17499	11.8379	11.8379	13.6019
NODE_124_length_17362_cov_4.460103	17362	10.5301	10.5301	14.1552
NODE_125_length_17353_cov_5.846398	17353	12.9641	12.9641	17.0529
NODE_126_length_17301_cov_4.337064	17301	9.95598	9.95598	16.9543
NODE_127_length_17253_cov_4.806722	17253	11.0969	11.0969	16.2791
NODE_128_length_17179_cov_5.833567	17179	13.3624	13.3624	19.1588
NODE_129_length_17130_cov_5.232738	17130	12.2161	12.2161	18.0448
NODE_130_length_16974_cov_9.805780	16974	22.7532	22.7532	184.373
NODE_131_length_16971_cov_4.979014	16971	11.5146	11.5146	12.5633
NODE_132_length_16459_cov_6.133626	16459	13.8525	13.8525	22.6449
NODE_133_length_16238_cov_5.114256	16238	11.6206	11.6206	15.1632
NODE_134_length_16164_cov_4.634800	16164	10.5538	10.5538	15.0668
NODE_135_length_16013_cov_4.268768	16013	9.66387	9.66387	13.4877
NODE_136_length_15878_cov_9.267459	15878	21.3068	21.3068	32.3648
NODE_137_length_15825_cov_6.702346	15825	14.0082	14.0082	24.0774
NODE_138_length_15560_cov_6.628700	15560	15.018	15.018	23.1427
NODE_139_length_15550_cov_4.469442	15550	10.548	10.548	12.7652
