Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
0	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
1	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
10	k__Bacteria (UID2982)	88	229	147	12	206	11	0	0	0	93.62	4.53	18.18
11	o__Clostridiales (UID1212)	172	263	149	106	152	5	0	0	0	56.19	1.42	20.00
12	f__Lachnospiraceae (UID1256)	33	333	171	248	73	11	1	0	0	24.51	2.19	0.00
13	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
14	o__Clostridiales (UID1212)	172	263	149	189	63	11	0	0	0	24.04	3.35	0.00
15	o__Thermoanaerobacterales (UID1420)	32	488	209	403	84	1	0	0	0	19.37	0.48	0.00
16	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
17	o__Clostridiales (UID1212)	172	261	147	125	108	27	1	0	0	49.89	5.87	0.00
18	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.00	0.00
19	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
2	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
20	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
21	k__Bacteria (UID203)	5449	104	58	93	11	0	0	0	0	13.24	0.00	0.00
22	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
23	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
24	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
25	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
26	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
27	o__Clostridiales (UID1212)	172	263	149	29	223	10	1	0	0	88.07	4.27	0.00
28	o__Clostridiales (UID1212)	172	263	149	4	258	1	0	0	0	97.99	0.06	0.00
29	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
3	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
30	k__Bacteria (UID203)	5449	103	57	79	24	0	0	0	0	30.46	0.00	0.00
31	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
4	c__Clostridia (UID1118)	387	223	124	11	200	11	1	0	0	94.30	8.14	14.29
5	k__Bacteria (UID203)	5449	104	58	86	18	0	0	0	0	18.86	0.00	0.00
6	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
7	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
8	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
9	p__Euryarchaeota (UID3)	148	188	125	116	67	5	0	0	0	34.67	1.33	0.00
